,index,Unnamed: 0,Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,Double Value,Farmers Market?,place_id,googlename,googlelat,googlelon,googleaddress,cost,multiple,how,check,type
60,10293,10293,Walgreens 06980,-87.70519300000002,41.990402,3019 W Peterson Ave,,Chicago,IL,60659.0,3726.0,COOK,False,False,ChIJzUtyOBrOD4gRD41kFfLsRa8,Walgreens,41.9902602,-87.7052322,"3019 West Peterson Avenue, Chicago",2.0,2,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
61,10304,10304,CVS 5987,-87.67923,41.96899000000001,4800 N Damen Ave,,Chicago,IL,60625.0,1413.0,COOK,False,False,ChIJi85h7hjSD4gRW9EmMDugrf4,CVS,41.96890860000001,-87.67939059999999,"4800 North Damen Avenue, Chicago",,2,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
62,10309,10309,THREE STARS FOOD MARKET INC,-87.706314,41.885677,252 N Kedzie Ave,,Chicago,IL,60612.0,1869.0,COOK,False,False,ChIJWTcTQaUyDogR8TUIdEXobZc,Three Star Food Market,41.88608620000001,-87.7065236,"254 North Kedzie Avenue, Chicago",,1,name first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
63,10661,10661,"Brothers Food Mart, Inc",-87.711662,41.905434,1327 N Homan Ave,,Chicago,IL,60651.0,2317.0,COOK,False,False,,,,,,,0,name second word,0,0
64,10816,10816,FOODSMART,-87.699623,41.917435,2901 W Armitage Ave,,Chicago,IL,60647.0,3918.0,COOK,False,False,ChIJIW70ZGDND4gRjNXXDLtdZBs,Foodsmart,41.9171558,-87.6996319,"2901 West Armitage Avenue, Chicago",,2,name 1 and address 1 (more than one first) ,0,"['grocery_or_supermarket', 'post_office', 'convenience_store', 'liquor_store', 'food', 'finance', 'store', 'point_of_interest', 'establishment']"
65,10892,10892,LOS POTRILLOS,-87.718414,41.93924000000001,3624 W Belmont Ave,,Chicago,IL,60618.0,5304.0,COOK,False,False,ChIJH0MWyqHND4gRYuO5X13RqM8,Los Potrillos,41.9392916,-87.71840089999999,"3624 West Belmont Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
66,11005,11005,LA BAGUETTE NORTH,-87.72766899999998,41.941486,3311 N Milwaukee Ave,,Chicago,IL,60641.0,4003.0,COOK,False,False,ChIJa8ixqajND4gRIzHwsPaeI5w,CVS,41.9413923,-87.7269709,"3311 North Pulaski Road, Chicago",,1,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
67,11047,11047,LOCK WOOD FOOD MART,-87.75846899999998,41.90226,5300 W Division St,,Chicago,IL,60651.0,1359.0,COOK,False,False,,,,,,,0,name second word,0,0
68,11157,11157,UMAR #1 INC,-87.69019300000002,42.008095,6958 N Western Ave,,Chicago,IL,60645.0,4718.0,COOK,False,False,ChIJrcG8qtHRD4gRFAuY5o-kO4o,A & M Convenient Store,42.0085443,-87.69039339999999,"6958 North Western Avenue, Chicago",,1,address first word,0,"['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
69,11162,11162,HATEEB INC,-87.768562,41.923923,5701 W Fullerton Ave,,Chicago,IL,60639.0,2306.0,COOK,False,False,ChIJfyTBM5rMD4gRk-X744hpRJc,FULLERTON AND MAJOR MOBIL,41.9236805,-87.7687115,"5701 West Fullerton Avenue, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
